label,text
1,"U.S. WHEAT GROWERS WANT EEP TO SOVIET UNION
  The U.S. National Association of
  Wheat Growers (NAWG) urged the Reagan administration offer the
  Soviet Union wheat under the export enhancement program (eep).
      In a letter to Agriculture Secretary Richard Lyng, NAWG
  stated its ""strong support"" for an eep offer to Moscow.
      ""We believe that a solid case continues to exist for Soviet
  EEP eligibility, and the recently announced and reported Soviet
  purchases of U.S. corn indicate a Soviet willingness to
  purchase U.S. grain if it is competitively priced,"" NAWG said.
      ""Consequently, we believe it is important to renew the U.S.
  eep offer and do all that is reasonably possible to ensure
  mutual adherence to the terms of the U.S.-Soviet grain
  agreement,"" the letter said.
  

"
0,"CANADA RULES U.S. CORN INJURING CANADIAN FARMERS, UPHOLDS DUTY 

  CANADA RULES U.S. CORN INJURING CANADIAN FARMERS, UPHOLDS DUTY 
  

"
1,"SESOSTRIS SELLS 18,000 TONNES BARLEY TO GREECE
  Sesostris, the Spanish subsidiary of the
  international grain trader Dreyfus, sold 18,000 tonnes of
  barley to Greece for delivery from Mediterranean ports from
  April 14 to 30, a company spokesman said. He gave no details on
  price.
      The barley has a 14 pct humidity.
  

"
1,"AROUND 3.5 MLN ACRES SAID TO BE IDLED BY 0/92
  A 0/92 program would have very
  little impact on U.S. acreage, prompting farmers to idle only
  an additional 3.5 mln acres of cropland every year, according
  to a report from the Agriculture Department.
      The savings resulting from the additional 3.5 mln acres
  idled would be a little over 400 mln dlrs in loan savings, 35
  mln dlrs in transportation and storage savings, and 10-20 mln
  dlrs per year in deficiency payment savings, the report said.
      The USDA report asssessed the impacts of the proposed 0/92
  acreage program for wheat, corn, cotton, sorghum and barley.
  Last year, almost 245 mln acres of those crops were harvested.
      ""The likelihood that the 0-92 provisiion will cause very
  large acreages to be removed from crop production is quite
  small,"" the report said.
      ""The returns on typical farms still favor participation in
  the usual acreage reduction programs and seeding the permitted
  acreage,"" the USDA report said.
      The 0/92 program, which would allow farmers to forego
  planting and still receive 92 pct of their deficiency payment,
  would be most used by producers in high production/high risk
  areas where cost of production is high, said Keith Collins,
  director of USDA's economics analysis staff.
      ""In the heart of the corn belt, you would not get that much
  participation,"" Collins said.
      USDA estimated that an additional one mln acres of wheat
  would be ildled under 0/92, 1.5 mln acres of corn, 500,000
  acres of sorghum and barley and 500,000 acres of cotton.
      Production from these idled acres would be equivalent to 40
  mln bushels of wheat, 180 mln bushels of corn, 20 mln bushels
  of sorghum, 10 mln bushels of barley, and 500,000 bales of
  cotton, the report said.
      ""In determining whether to participate, a producer would
  need to weigh the expected cash costs of production against the
  loan rate ... The risk that market prices may rise above the
  expected levels and reduce the deficiency payment also must be
  considered,"" according to the analysis.
      ""What you're giving up under 0/92 is the difference between
  the loan rate and the cost of production,"" Collins said.
      For producers with low production costs, that difference is
  greater and can be applied to paying variable costs, he said.
  Under these cicumstances, farmers would not want to go along
  with 0/92. But for high cost producers, 0/92 would be more
  attractive.
      Also, as loan rates get lower, Collins said there would be
  more incentives to participate in a 0/92 program.
      ""I would admit that its impacts would be very marginal at
  first, but it is a step towards the goal of separating
  production decisions from government payments,"" Collins said.
      In a speech earlier today before the National Grains and
  Feed Association, USDA Secretary Richard Lyng said it is too
  late to implement 0/92 for 1987 crops since program signup will
  be over by the end of this month.
  

"
0,"ZAMBIA, IMF TALKS STALL ON FOOD SUBSIDIES
  Zambia's talks with the World Bank and
  International Monetary Fund (IMF) on a financial rescue package
  have run into difficulties on the issue of food subsidies, an
  official newspaper said.
      The Times of Zambia, which is run by the ruling United
  National Independence Party (UNIP), quoted official sources as
  saying the IMF and World Bank had refused to continue financing
  food subsidies and were pressing the government to explain how
  it proposes to pay for them.
      President Kenneth Kaunda tried to abolish maize subsidies
  last December, in line with IMF recommendations, but the move
  caused maize meal prices to double overnight and led to riots.
      The subsidies were immediately restored as part of moves to
  quell the disturbances.
      The Times of Zambia said another major issue in the
  government's current talks with the IMF and World Bank was the
  remodelling of Zambia's foreign exchange auction.
      The central bank's weekly auction of foreign exchange to
  the private sector has been suspended since the end of January,
  pending modifications to slow down the rate of devaluation and
  dampen fluctuations in the exchange rate.
      The kwacha slid to around 15 per dollar under the auction,
  losing 85 pct of its value in 16 months, but since the end of
  January has been revalued to a fixed rate of nine per dollar.
      Banking sources said Zambia was persuaded by the World Bank
  and IMF to lift its proposed ceiling of 12.50 kwacha per dollar
  on the currency's devaluation once the auctions restart.
  

"
1,"TRADERS DETAIL EC GRAIN EXPORT LICENCES
  The EC Commission granted 25,000 tonnes
  of free market barley export licences at today's tender and
  80,000 tonnes of French maize, grain traders said.
      The maximum export rebate for barley was set at 137.25 Ecus
  and for maize at 129.75 Ecus per tonne.
      All bids for wheat were rejected, they said.
  

"
1,"WEATHER HURTING YUGOSLAV WHEAT - USDA REPORT
  Unfavorable late winter weather
  conditions in the main wheat growing areas of Yugoslavia
  indicate dimmed prospects for the emerging winter wheat crop,
  the U.S. embassy's agricultural officer in Belgrade said.
      The officer, who travelled through an area from Belgrade to
  Subotica, said in a field report dated March 27 the wheat crop
  had been set back at least three weeks because of a cold spell
  that followed a period of warm weather.
      He said unseasonably warm weather in late February that
  brought the wheat crop out of winter dormancy early was
  followed by three weeks of unusually cold weather.
      Damaging effects were seen in the fields, most of which
  show stands with a yellow-brown cast indicating extensive leaf
  and possible root damage from repeated freezings, he said.
      The report said that since much of the early growth in
  February was from late seeding rather than from normal
  development, his view was that the damage may be more extensive
  than some local observers say.
      The most seriously affected fields were late-seeded fields
  on normal maize soils. Stands in these fields were thin and
  chances of recovery appeared less favorable, he said.
      However, he said soil moisture conditions were favorable
  and many of the fields had already been top-dressed, which
  would aid recovery.
  

"
1,"USDA DETAILS CONSERVATION CROP ENROLLMENT
  Farmers enrolled over 6.5 mln acres
  of program crops in the latest conservation reserve program
  signup and around four mln acres of non-program crops,
  Agriculture Department conservation specialists said.
      Soybean acreage amounted to less than two mln acres of the
  non-program crop acreage enrolled, a USDA analyst said. Heavy
  enrollment of non-base acreage in wheat states, of which a big
  percentage would be fallow and non-soybean land, accounted for
  a large portion of the non-program acreage, the analyst said.
      Wheat and corn acreage comprised slightly over 40 pct of
  the total 10,572,402 acres accepted into the ten-year program.
      USDA analysts gave the following enrollment breakdown:
      -- wheat  2,615,140 acres
      -- corn   1,894,764 acres
      -- barley   705,888 acres
      -- sorghum  585,552 acres
      -- cotton   417,893 acres
      -- rice       2,035 acres
      -- peanuts      611 acres
      -- tobacco      285 acres
      -- total program crops  6,512,700 acres
      -- total nonprogram     4,059,702 acres
      -- total enrollment    10,572,402 acres
      USDA analysts are currently working on a complete state
  breakdown of crop acreage enrollment and should have it ready
  for publication later this week, they said.
  

"
1,"OECD FARM SUBSIDIES STUDY RESULTS DETAILED
  The results of a controversial study
  of farm subsidies conducted by the Paris-based Organisation for
  Economic Cooperation and Development, OECD, show Japan has the
  highest agriculture subsidies in the world, and that dairy
  farmers benefit more than any other commodity producers from
  subsidies.
      Results of the study, which has not been released by OECD
  because of objections from some countries, were provided to
  Reuters by officials of several countries on condition they not
  be identified.
      The OECD study calculates the level of farm subsidies for
  the years 1979-81 using a new measure called the producer
  subsidy equivalent, PSE.
      The study shows that on dairy products Japan's PSE, or the
  amount of aid to farmers expressed as a percentage, averaged
  83.3 pct over 1979-81, with the European Community at 68.8 pct
  and the United States 48.2 pct.
      For wheat Japan's PSE averaged 95.8 pct, the EC 28.1 and
  the U.S. 17.2. Japan's rice PSE was 68.8 pct compared to the EC
  13.6 and the U.S. 5.4 pct, the OECD calculations show.
      In coarse grains, Japan's subsidies reached 107.1 pct
  compared with 27.9 pct for the EC and 13.1 pct for the U.S.
  Japan's beef subsidy was 54.9 pct versus 52.7 pct for the EC
  and 9.5 pct for the U.S., OECD concluded.
      For sugar, Japan's PSE was 48.4 pct versus 27.9 pct in the
  EC and 13.1 pct for the U.S., the study shows.
      The OECD calculated farm subsidies for other industrial
  countries such as Canada, Australia and New Zealand but in most
  cases the results were much lower than for the U.S., EC and
  Japan, the sources said.
      Subsidies in Argentina and Brazil, two major developing
  country producers of commodities, were not included in the OECD
  work.
      Officials said they hope to persuade reluctant countries to
  release the study soon, perhaps coinciding with the OECD
  ministerial meeting in Paris during May.
      Some officials hope the OECD results will be used as a 
  basis for negotiations during the Uruguay round of global trade
  talks now underway in Geneva.
      British Agriculture Minister Michael Jopling during a visit
  to Washington this week endorsed the OECD work as a starting
  point for the Uruguay round negotiations on agriculture.
      He said the PSE calculations provide a tool to negotiate
  down domestic farm support levels, which are a major cause of
  the present crisis in world agriculture.
      However, the OECD study results are controversial because
  they highlight the levels of assistance to farmers, officials
  familiar with the study said.
      The U.S. Agriculture Department's Economic Research Service
  recently published a study of farm subsidies in an attempt to
  verify the OECD results and update them to 1982-84.
      In some cases the results were substantially different than
  the OECD's, in part because farm policies in both the U.S. and
  elsewhere had changed markedly by 1982-84 from the OECD base
  period of 1979-81, U.S. officials said.
      For example, the USDA study found the United States
  subsidies to corn producers were higher in 1982-84, at 25 to 49
  pct, than in the EC, at zero to nine pct.
      French Maize Producers Association president Marcel Cazale,
  citing the result of the USDA calculation for corn, told
  reporters last week that the United States subsidizes its
  farmers more than the EC.
      However, the sources said EC corn subsidies are probably
  higher than the U.S. now because of increases since 1984.
      Officials of several countries have been asked to
  contribute data to OECD so that the study can be updated to
  1985 subsidy levels, a much more relevant measure of the
  current world farm situation.
      The updated calculations, which may take several months to
  complete, are expected to show substantial increases in U.S.
  subsidy levels for sugar because the U.S. imposed restrictive
  import quotas in 1982 as aid to the domestic industry.
      U.S. subsidy levels also are increased by the 1985 farm
  bill, which sharply boosted government deficiency payments to
  grain farmers and applied a marketing loan for rice, officials
  added.
  

"
0,"SOUTH AFRICA CROP WEATHER SUMMARY -- USDA/NOAA
  Dry weather pushed further into
  South Africa's Orange Free State's Maize Triangle in the week
  ended March 14, the Joint Agricultural Weather Facility of the
  U.S. Agriculture and Commerce Departments said.
      In a summary of its Weather and Crop Bulletin, the agency
  said scattered showers continued throughout Transvaal, but dry
  pockets persisted in the northeast and south.
      Temperatures average one to four degrees C above normal
  throughout all grain areas, stressing grain-filling corn in
  areas receiving lightest rainfall, it said.
      The agency said rainfall during February was near to above
  normal in most areas, but earlier periods of hot, dry weather
  reduced yield prospects in parts of the northern Transvaal and
  southern Orange Free State.
  

"
